STUDENT'S NAME,Exam Number,Sex,Date of Birth,SN,Agriculture,Bible Knowledge,Biology,Chemistry,Chichewa,Computer Studies,English,French,Geography,History,Home Economics,Mathematics,Physics,Social/Life
John Banda,1001,M,2010-03-15,,72,65,58,-,80,70,75,-,62,68,-,55,-,70
Mary Phiri,1002,F,2010-07-22,,85,78,72,-,90,82,88,-,76,80,-,68,-,82
Peter Mwale,1003,M,2009-11-05,,45,38,42,-,52,40,48,-,35,44,-,30,-,50
Grace Chirwa,1004,F,2010-01-18,SN,60,55,50,-,65,58,62,-,58,60,-,45,-,55
James Tembo,1005,M,2010-09-30,,90,85,82,-,92,88,91,-,87,89,-,78,-,90
Chimwemwe Ngoma,1006,F,2010-05-12,,55,50,48,-,60,52,58,-,45,55,-,40,-,52
Lucy Kadzamira,1007,F,2009-12-08,,78,70,65,-,82,75,80,-,70,72,-,60,-,76
Thomas Chikapa,1008,M,2010-04-25,SN,35,30,28,-,42,32,38,-,25,35,-,20,-,33
Esnart Gondwe,1009,F,2010-08-14,,68,62,60,-,75,65,72,-,60,65,-,52,-,66
Mark Kachigunda,1010,M,2010-02-28,,82,76,70,-,85,78,83,-,75,78,-,65,-,80
Fatsani Bvuto,1011,F,2010-06-03,,50,45,42,-,55,48,52,-,40,50,-,35,-,48
 Blessings Kamanga,1012,M,2009-10-17,,88,82,78,-,90,85,87,-,82,85,-,72,-,86
Tadala Mbewe,1013,F,2010-12-01,SN,42,38,35,-,48,40,44,-,32,42,-,28,-,40
Ian Mwanza,1014,M,2010-03-09,,75,68,62,-,78,70,74,-,65,70,-,58,-,72
Wongani Msisya,1015,F,2010-07-20,,60,55,52,-,65,58,62,-,52,58,-,45,-,58
